TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.calculator.Calculator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,47,46
com.example.calculator.Calculator,BRANCH,1.0,3,3
